Wavenumber (cm^-1)	Intensity profile for Laser = Block Engineering LaserTune LT-OEM [Q0252] - Block Engineering LaserTune LT-OEM [Q0252]: PiF (V)
1589	1.96983848074078e-4
1590	1.89117985370453e-4
1591	1.8812722395028e-4
1592	1.92721164821023e-4
1593	1.68598081671182e-4
1594	2.03913155149515e-4
1595	1.78639704636433e-4
1596	1.88467515866632e-4
1597	1.90340627123008e-4
1598	1.90443015841202e-4
1599	2.09223817047616e-4
1600	1.91230505541431e-4
1601	2.01187808385816e-4
1602	1.67152593884911e-4
1603	1.93364105742624e-4
1604	1.95420914405173e-4
1605	1.76269706953526e-4
1606	1.73027899449525e-4
1607	1.89346854269946e-4
1608	1.73387765679648e-4
1609	2.02508321707232e-4
1610	1.90068092446638e-4
1611	1.89580240318771e-4
1612	1.8617430972237e-4
1614	1.80682961850985e-4
1615	1.4715969094105e-4
1616	1.29931283388433e-4
1617	1.53241279658497e-4
1618	1.74723336165505e-4
1619	1.56629141657569e-4
1620	1.69344917027422e-4
1621	1.57768969005702e-4
1622	1.34427352690313e-4
1623	1.4517666238426e-4
1624	1.71472494362839e-4
1625	1.4798482355238e-4
1626	1.53595123022844e-4
1627	1.46474589959015e-4
1628	1.58866636293401e-4
1629	1.48112809450123e-4
1630	1.45157088070487e-4
1631	1.51979489278397e-4
1632	1.64499521510526e-4
1633	1.09464079764702e-4
1634	8.39692889343478e-5
1635	1.09614651409105e-4
1636	1.16760781652483e-4
1637	1.26672913003547e-4
1638	1.02352580999538e-4
1640	1.17378125394536e-4
1641	1.1736457394654e-4
1642	9.45529698194506e-5
1643	1.17512134158055e-4
1645	3.18853525621162e-4
1646	3.23575452389647e-4
1647	3.14378536349498e-4
1648	3.04976842872961e-4
1649	3.79640804183189e-4
1650	3.81081774820128e-4
1651	3.28249196231924e-4
1652	7.89778389223808e-5
1653	9.47923787340517e-5
1654	3.10013464378249e-4
1655	4.06136896448825e-4
1656	4.42545120065525e-4
1658	4.68505177277086e-4
1659	5.0670369774574e-4
1660	4.73177415402918e-4
1661	4.82606211775448e-4
1662	3.67828458679756e-4
1663	4.38946457764288e-4
1664	5.81081572931603e-4
1665	5.59307407434452e-4
1666	5.75798013929493e-4
1667	5.52338951731471e-4
1668	3.93332283808774e-4
1669	5.44439963266077e-4
1670	5.3485156095048e-4
1671	5.15545264705098e-4
1672	6.22157517524803e-4
1673	7.00442726882929e-4
1674	5.43235390110851e-4
1675	2.99911612755236e-4
1676	6.44502349554242e-4
1677	7.04988484827462e-4
1678	7.14477509857754e-4
1679	6.431125732764e-4
1680	6.07011515814282e-4
1681	7.44317798345585e-4
1682	6.84947398957393e-4
1683	3.77842978749015e-4
1684	3.75498578245656e-4
1685	5.05310910035011e-4
1686	7.82629247547543e-4
1687	7.44713801770366e-4
1688	6.83693137159514e-4
1689	7.13537942796678e-4
1690	6.82408761032754e-4
1691	8.19388303095702e-4
1692	7.82389838632941e-4
1693	8.07065519717742e-4
1694	4.74552134516319e-4
1695	2.49860092439159e-4
1696	6.92558795581976e-4
1697	6.7921061930563e-4
1698	7.23599140075701e-4
1699	5.37354061680461e-4
1700	1.9968811480756e-4
1701	7.59167173916632e-4
1702	8.27114134170032e-4
1703	7.25375885479659e-4
1704	6.3758960535969e-4
1705	6.3934828216632e-4
1707	8.17891620950334e-4
1708	8.73773275337704e-4
1709	9.00307010514441e-4
1710	7.80790767769379e-4
1711	9.32074616050634e-4
1712	8.94680148163092e-4
1713	7.6523822261897e-4
1714	6.59446585261262e-4
1715	8.44636156429235e-4
1716	6.40194494807866e-4
1717	5.87051738632191e-4
1718	5.54996541255188e-4
1719	9.678353815964e-4
1720	9.28573825318259e-4
1721	9.11157203210137e-4
1722	8.73333606136047e-4
1723	9.0857038235929e-4
1724	9.8068817716266e-4
1725	9.56798480061643e-4
1726	8.82518476444643e-4
1727	9.77315372328027e-4
1728	9.03625609557088e-4
1729	7.72798424884456e-4
1730	8.46263835905234e-4
1731	9.24437622246502e-4
1732	8.50403050409879e-4
1733	5.24700020684814e-4
1734	5.4149478190155e-4
1735	8.78034452874315e-4
1736	8.55337283196973e-4
1737	8.34531293373335e-4
1739	7.20390458333469e-4
1740	7.69531020200906e-4
1741	7.05086356396324e-4
1742	6.57522279645789e-4
1743	7.45451602827942e-4
1744	7.27096919375188e-4
1745	6.960851834939e-4
1746	6.68750407168938e-4
1747	6.9553258555894e-4
1748	6.54146463378269e-4
1749	7.4543955709639e-4
1750	5.75710682375739e-4
1751	6.72457481054145e-4
1752	8.3226669584151e-4
1753	8.42892536787046e-4
1754	8.5762898362479e-4
1755	8.62772510997604e-4
1756	6.3079731848066e-4
1757	8.79984355669337e-4
1758	8.85662412379783e-4
1759	8.85493772138051e-4
1760	7.02570304218346e-4
1761	7.74156581116973e-4
1762	9.29542000991771e-4
1763	8.99453269290674e-4
1764	9.04024624414756e-4
1765	9.33348452162285e-4
1766	8.69643095131724e-4
1767	7.02100520687809e-4
1768	7.27515508546629e-4
1769	9.00912308524942e-4
1770	6.41141590451162e-4
1771	6.73487391101863e-4
1772	6.65943751717262e-4
1773	8.28068758395548e-4
1774	9.02651411017799e-4
1775	8.0061201903862e-4
1776	8.99456280723562e-4
1777	8.78784299663444e-4
1778	8.61311966046893e-4
1779	6.87763088707733e-4
1780	8.22518687582845e-4
1782	8.41715066527813e-4
1783	7.81698714785131e-4
1784	8.40870359602711e-4
1785	8.3736354600456e-4
1786	8.01312177185095e-4
1787	8.58142432932205e-4
1788	7.96439678772207e-4
1789	7.83781120627227e-4
1790	7.51201933927701e-4
1791	5.04776380697379e-4
1792	6.8667144428581e-4
1793	7.92151398339603e-4
1794	8.2616854424318e-4
1795	7.03827577449113e-4
1796	7.68472501540751e-4
1797	7.81876389325527e-4
1798	6.58994870328053e-4
1799	7.4753099723715e-4
1800	6.90259566571939e-4
1801	7.41867997691145e-4
